number,opt,learning_rate,momentum,batch_size,val_acc,mac,params,time
1,adadelta,0.05,0.85,16,0.863860033,4.12 GMac,209.0 k,693.8276131
2,adadelta,0.1,0.669,16,0.896118097,4.12 GMac,209.0 k,729.6756804
3,adamax,0.1,0.92,128,0.887916894,4.12 GMac,209.0 k,1068.03195
4,sgd,0.01,0.6,64,0.888463641,4.12 GMac,209.0 k,974.5289102
5,adagrad,0.0541,0.642,128,0.895024604,4.12 GMac,209.0 k,1101.522959
6,rmsprop,0.024,0.83696,16,0.856205577,4.12 GMac,209.0 k,715.3166075
7,adadelta,0.1,0.633294417,64,0.878622198,4.12 GMac,209.0 k,931.473717
8,adamax,0.1,0.683303494,32,0.877528704,4.12 GMac,209.0 k,815.5722752
9,adagrad,0.035,0.889250502,32,0.908146528,4.12 GMac,209.0 k,817.0893655
10,rmsprop,0.1,0.984590512,16,0.83652269,4.12 GMac,209.0 k,652.2480023
11,adam,0.1,0.8,128,0.878622198,4.12 GMac,209.0 k,1076.312458
12,adagrad,0.0536,0.99,128,0.894477857,4.12 GMac,209.0 k,1092.175503
13,adagrad,0.0536,0.99,128,0.896664844,4.12 GMac,209.0 k,1118.320533
14,sgd,0.054,0.82,32,0.9043193,4.12 GMac,209.0 k,871.9066536
15,adagrad,0.0536,0.99,128,0.887916894,4.12 GMac,209.0 k,1102.28667
16,adagrad,0.1,0.76,128,0.899945325,4.12 GMac,209.0 k,1089.560212
17,adagrad,0.0536,0.99,128,0.89393111,4.12 GMac,209.0 k,1077.305171
18,adagrad,0.0536,0.99,128,0.894477857,4.12 GMac,209.0 k,1000.071554
19,adamax,0.038,0.95,128,0.893384363,4.12 GMac,209.0 k,1005.467634
20,adagrad,0.0536,0.99,128,0.897758338,4.12 GMac,209.0 k,1007.447022
21,adagrad,0.0536,0.99,128,0.890103882,4.12 GMac,209.0 k,1018.646171
22,adagrad,0.1,0.82,32,0.877528704,4.12 GMac,209.0 k,533.1465271
23,adam,0.037,0.901012052,128,0.875341717,4.12 GMac,209.0 k,1022.660009
24,adagrad,0.0554,0.63,64,0.806451613,4.12 GMac,209.0 k,855.4503713
25,adagrad,0.1,0.76,128,0.898305085,4.12 GMac,209.0 k,1056.970448
26,adagrad,0.0536,0.76,16,0.901585566,4.12 GMac,209.0 k,700.5309601
27,adagrad,0.0536,0.99,128,0.903772553,4.12 GMac,209.0 k,1093.973433
28,adagrad,0.0536,0.605242882,128,0.89557135,4.12 GMac,209.0 k,1093.352214
29,adam,0.1,0.90137319,32,0.858939311,4.12 GMac,209.0 k,884.3778219
30,adagrad,0.0536,0.99,32,0.896118097,4.12 GMac,209.0 k,895.8263395
31,adagrad,0.0536,0.99,128,0.899945325,4.12 GMac,209.0 k,943.5349627
32,adam,0.1,0.7882,16,0.85565883,4.12 GMac,209.0 k,433.9420986
33,adagrad,0.0536,0.99,128,0.898851832,4.12 GMac,209.0 k,949.2332633
34,adagrad,0.0536,0.99,128,0.894477857,4.12 GMac,209.0 k,941.6619256
35,adagrad,0.0536,0.99,128,0.895024604,4.12 GMac,209.0 k,939.9188859
36,adadelta,0.0536,0.99,128,0.776927283,4.12 GMac,209.0 k,946.9661996
37,adagrad,0.0536,0.604242882,16,0.899398578,4.12 GMac,209.0 k,449.9375668
38,sgd,0.1,0.96,16,0.863860033,4.12 GMac,209.0 k,450.0362391
39,adagrad,0.0675,0.891,128,0.895024604,4.12 GMac,209.0 k,1041.241259
40,adagrad,0.0536,0.99,128,0.896664844,4.12 GMac,209.0 k,1055.181723
41,adagrad,0.0536,0.99,128,0.901038819,4.12 GMac,209.0 k,1096.120374
42,adagrad,0.0536,0.99,128,0.891197376,4.12 GMac,209.0 k,1092.558084
43,adagrad,0.0536,0.99,128,0.897758338,4.12 GMac,209.0 k,1096.891537
44,adagrad,0.0536,0.99,128,0.89557135,4.12 GMac,209.0 k,1093.952629
45,adagrad,0.0536,0.93,64,0.838162931,4.12 GMac,209.0 k,745.0341041
46,adagrad,0.0536,0.99,128,0.884636413,4.12 GMac,209.0 k,981.1977642
47,adagrad,0.0675,0.8101205,32,0.887916894,4.12 GMac,209.0 k,581.3020349
48,adagrad,0.0536,0.99,32,0.902132313,4.12 GMac,209.0 k,586.7522147
49,adagrad,0.0675,0.891,128,0.890650629,4.12 GMac,209.0 k,969.6856315
50,adagrad,0.0255,0.801012052,128,0.907599781,4.12 GMac,209.0 k,976.0067284
51,adagrad,0.0536,0.99,32,0.89557135,4.12 GMac,209.0 k,584.3261366
52,adagrad,0.0536,0.99,128,0.888463641,4.12 GMac,209.0 k,981.2812784
53,adagrad,0.0536,0.99,128,0.897758338,4.12 GMac,209.0 k,989.626431
54,adagrad,0.0536,0.99,128,0.899398578,4.12 GMac,209.0 k,1024.776593
55,adagrad,0.0536,0.99,128,0.897211591,4.12 GMac,209.0 k,1041.477223
56,adagrad,0.1,0.82,128,0.896118097,4.12 GMac,209.0 k,1064.775497
57,adagrad,0.0532,0.99,128,0.902132313,4.12 GMac,209.0 k,1105.938699
58,adagrad,0.0536,0.93,32,0.896118097,4.12 GMac,209.0 k,894.6211796
59,adagrad,0.072,0.9,64,0.860032805,4.12 GMac,209.0 k,959.392432
60,adagrad,0.0536,0.99,128,0.888463641,4.12 GMac,209.0 k,981.6569576
61,adagrad,0.0255,0.801012052,32,0.908146528,4.12 GMac,209.0 k,581.1412022
62,adagrad,0.0255,0.80107319,32,0.9218152,4.12 GMac,209.0 k,576.3222721
63,adagrad,0.0173,0.9,64,0.892290869,4.12 GMac,209.0 k,747.4489737
64,adagrad,0.0532,0.99,64,0.897758338,4.12 GMac,209.0 k,749.3764591
65,adagrad,0.0536,0.731,128,0.891197376,4.12 GMac,209.0 k,972.6868243
66,adagrad,0.0713,0.601012152,32,0.881355932,4.12 GMac,209.0 k,603.8905942
67,adagrad,0.0504,0.852428824,128,0.902132313,4.12 GMac,209.0 k,980.7896583
68,adagrad,0.0255,0.801012052,64,0.870967742,4.12 GMac,209.0 k,750.4018815
69,adagrad,0.0255,0.801012052,16,0.912520503,4.12 GMac,209.0 k,469.5799446
70,adagrad,0.0255,0.80107319,128,0.909786769,4.12 GMac,209.0 k,1031.2562
71,adagrad,0.0255,0.801012052,128,0.90267906,4.12 GMac,209.0 k,1049.957617
72,adagrad,0.0526,0.930101205,16,0.905959541,4.12 GMac,209.0 k,563.5109587
73,adagrad,0.0504,0.852428205,16,0.908146528,4.12 GMac,209.0 k,699.6524398
74,adagrad,0.0255,0.801073191,16,0.910333516,4.12 GMac,209.0 k,725.1207569
75,adagrad,0.0255,0.801012052,128,0.905959541,4.12 GMac,209.0 k,1030.095514
76,adagrad,0.0255,0.80107319,128,0.898851832,4.12 GMac,209.0 k,1042.249242
77,adagrad,0.0504,0.852428524,128,0.89393111,4.12 GMac,209.0 k,1035.360867
78,adagrad,0.0255,0.80107319,128,0.896118097,4.12 GMac,209.0 k,1040.848809
79,adagrad,0.0255,0.801012052,32,0.899945325,4.12 GMac,209.0 k,676.0423436
80,adagrad,0.0504,0.852428205,64,0.899398578,4.12 GMac,209.0 k,818.4090858
81,adagrad,0.0255,0.801010121,16,0.907599781,4.12 GMac,209.0 k,444.3738196
82,adagrad,0.0255,0.80107319,32,0.90267906,4.12 GMac,209.0 k,673.9793825
83,adagrad,0.0255,0.801012051,128,0.899945325,4.12 GMac,209.0 k,1030.251566
84,adagrad,0.0508,0.69,64,0.895024604,4.12 GMac,209.0 k,805.0043247
85,adagrad,0.0504,0.8,128,0.901038819,4.12 GMac,209.0 k,1040.09403
86,adagrad,0.0255,0.80107319,32,0.902132313,4.12 GMac,209.0 k,695.9747005
87,adagrad,0.0255,0.89,64,0.905412794,4.12 GMac,209.0 k,943.50669
88,adagrad,0.0504,0.852428205,16,0.911427009,4.12 GMac,209.0 k,676.8905466
89,adagrad,0.0255,0.801073191,128,0.900492072,4.12 GMac,209.0 k,1087.911207
90,adagrad,0.0301,0.8,128,0.901585566,4.12 GMac,209.0 k,1081.732257
91,adagrad,0.0255,0.801010121,32,0.907053034,4.12 GMac,209.0 k,697.0472016
92,adagrad,0.0255,0.801012052,16,0.913613997,4.12 GMac,209.0 k,480.0912528
93,adagrad,0.035,0.99,128,0.901585566,4.12 GMac,209.0 k,1078.686635
94,adagrad,0.0255,0.801030101,32,0.899945325,4.12 GMac,209.0 k,696.6092706
95,adagrad,0.0504,0.852428205,128,0.901038819,4.12 GMac,209.0 k,1084.147572
96,adagrad,0.0255,0.80107319,16,0.911427009,4.12 GMac,209.0 k,493.952723
97,adagrad,0.0255,0.801010121,32,0.905412794,4.12 GMac,209.0 k,701.9480948
98,adagrad,0.0504,0.96,16,0.909240022,4.12 GMac,209.0 k,488.9146845
99,adagrad,0.0255,0.801010121,128,0.911973756,4.12 GMac,209.0 k,1079.651257
100,adagrad,0.0255,0.802820525,64,0.891197376,4.12 GMac,209.0 k,942.2451539